,JNJ,Date,NVO,WMT,JPM,XOM,UNH,V,TSM,LLY,HSBC,META,TSLA,NVDA,AMZN,GOOGL,GOOG,MSFT,AAPL
0,1.1874794,2018-01-02,0.40048203,0.851292,1.2766247,0.62148386,2.294138,1.2942584,0.40514597,1.4505516,0.48181567,1.8220855,0.58542055,0.38713112,1.1166219,0.6334934,0.5111922,1.0130672,0.5058887
1,1.1874051,2018-01-03,0.4004833,0.8506941,1.2758077,0.6246288,2.2941658,1.2941047,0.4051859,1.4490068,0.4819936,1.8220855,0.58373344,0.3870527,1.1155419,0.631531,0.5123159,1.0127283,0.5060113
2,1.187378,2018-01-04,0.40050817,0.85177547,1.2755215,0.62688076,2.2942662,1.2940413,0.40532923,1.4482708,0.48206806,1.8220855,0.58222353,0.38707122,1.1152452,0.62924564,0.5107684,1.0126872,0.5065703
3,1.1873703,2018-01-05,0.40030926,0.8532687,1.2762586,0.6300764,2.2946262,1.2939721,0.40515274,1.4420846,0.48127556,1.8220855,0.5819369,0.38709232,1.1142461,0.6280375,0.50684834,1.0126961,0.50665766
4,1.1877131,2018-01-08,0.40048358,0.8545916,1.2759595,0.6330198,2.2953694,1.2944714,0.40512472,1.4417832,0.4817331,1.8220855,0.5808659,0.38690743,1.1160623,0.6290642,0.51071364,1.0125629,0.50722414
5,1.1873424,2018-01-09,0.40036732,0.8550973,1.2754816,0.6357713,2.296549,1.2937031,0.40521443,1.4433981,0.4815982,1.8220855,0.5805994,0.38688025,1.1150211,0.62933296,0.50969744,1.0126486,0.50683606
6,1.1871866,2018-01-10,0.39985073,0.8551678,1.275594,0.6377508,2.2987478,1.2942613,0.40534613,1.4431938,0.48111558,1.8220855,0.5808765,0.38678703,1.1152762,0.6301296,0.51183164,1.0125871,0.5079399
7,1.1870997,2018-01-11,0.40026012,0.85465986,1.2765348,0.6410903,2.3023818,1.2937715,0.40535584,1.4388762,0.48147833,1.8220855,0.58140415,0.3867026,1.115678,0.6367802,0.51416856,1.0125338,0.50966847
8,1.1877431,2018-01-12,0.4002864,0.8545364,1.2756634,0.6444294,2.305649,1.2932613,0.40515408,1.4389735,0.4811406,1.8220855,0.5821916,0.38667968,1.1160043,0.63535196,0.5116796,1.0125566,0.51024485
9,1.1871685,2018-01-16,0.4003747,0.8545671,1.2759432,0.6463573,2.307019,1.2939175,0.40522602,1.4366158,0.48100907,1.8220855,0.58263004,0.38672704,1.1142148,0.6327232,0.51296645,1.0123467,0.50942665
10,1.1873956,2018-01-17,0.40048215,0.85451907,1.2759176,0.64777976,2.3061635,1.2928118,0.40510884,1.4401324,0.48060635,1.8220855,0.5825839,0.38671127,1.1140143,0.6290291,0.5033264,1.0122654,0.50518644
11,1.1873674,2018-01-18,0.40049815,0.85466075,1.276682,0.650707,2.3052146,1.293926,0.40520272,1.4435886,0.48052338,1.8220855,0.5829966,0.38664898,1.1159248,0.62767744,0.5065923,1.0126077,0.50602454
12,1.1875025,2018-01-19,0.40043235,0.85488254,1.2759087,0.6544473,2.3045995,1.2933874,0.40522432,1.4421387,0.48140857,1.8220855,0.5836518,0.3866927,1.1128232,0.62641853,0.4842533,1.0125004,0.50608385
13,1.1867678,2018-01-22,0.40044487,0.8548768,1.2767748,0.6583123,2.3036976,1.2938036,0.40529647,1.4272947,0.4812818,1.8220855,0.5844826,0.38676652,1.1172073,0.62738293,0.49238765,1.0126214,0.50702
14,1.1875143,2018-01-23,0.40043253,0.85485727,1.276377,0.6604312,2.3034208,1.2939767,0.40527007,1.4266949,0.48068222,1.8220855,0.5851727,0.38713598,1.1152557,0.6339222,0.49221405,1.0127014,0.5063811
15,1.1872739,2018-01-24,0.4000857,0.85486364,1.276512,0.6615398,2.303271,1.2937698,0.4052375,1.4211186,0.4812907,1.8220855,0.58666503,0.38689038,1.1121256,0.6346675,0.48361498,1.0126112,0.507679
16,1.1874475,2018-01-25,0.40019357,0.8544084,1.2760895,0.6627331,2.3046162,1.2935587,0.40532458,1.4177864,0.48118508,1.8220855,0.5876378,0.38682252,1.1223124,0.63467306,0.49029142,1.0140933,0.5098823
17,1.1869166,2018-01-26,0.40028057,0.8535436,1.2757472,0.66493356,2.306039,1.2937753,0.4052208,1.4038184,0.4803812,1.8220855,0.5887215,0.38673767,1.1147735,0.6312123,0.5014626,1.013673,0.5110918
18,1.187339,2018-01-29,0.40029243,0.853724,1.2754545,0.6652835,2.3053784,1.2933719,0.40535155,1.4007088,0.48085496,1.8220855,0.5893183,0.38666227,1.114083,0.6311845,0.5070276,1.0134487,0.51160914
19,1.1876403,2018-01-30,0.40026826,0.8542305,1.275925,0.6661881,2.3068388,1.2940586,0.4052378,1.41674,0.4802872,1.8220855,0.5887032,0.38669345,1.1145121,0.6328055,0.5108543,1.0131983,0.5103765
20,1.1875297,2018-01-31,0.40024313,0.854716,1.2760618,0.6679985,2.3029149,1.293544,0.4053216,1.4203438,0.48037094,1.8220855,0.58998674,0.3865761,1.1133832,0.6340439,0.51158893,1.0132513,0.5105855
21,1.1875675,2018-02-01,0.40032467,0.85496473,1.2756239,0.6693463,2.301752,1.2938163,0.40516457,1.4241719,0.4810399,1.8220855,0.5927038,0.3865017,1.1159525,0.6369854,0.51408833,1.0130513,0.5110053
22,1.187361,2018-02-02,0.4002831,0.854497,1.275292,0.6707973,2.3001654,1.2939197,0.40523747,1.4198534,0.4808486,1.8220855,0.594007,0.386571,1.1153358,0.63486296,0.50793684,1.0131398,0.51157
23,1.1874384,2018-02-05,0.40026608,0.85449266,1.2738963,0.67381567,2.2989588,1.2937342,0.40538308,1.4229574,0.47977164,1.8220855,0.59552234,0.38670838,1.1149697,0.6327129,0.51275766,1.0129752,0.5117896
24,1.1878037,2018-02-06,0.40038496,0.8547803,1.273806,0.6779711,2.297948,1.2938944,0.40543157,1.4292654,0.48047578,1.8220855,0.5966017,0.38701272,1.1158644,0.63089025,0.5139077,1.013202,0.5120201
25,1.1871884,2018-02-07,0.40006176,0.8549791,1.2743013,0.68370324,2.2965796,1.2936597,0.40490064,1.4287809,0.48068377,1.8220855,0.5978724,0.38745987,1.11425,0.6291315,0.5052527,1.0132605,0.511752
26,1.1871946,2018-02-08,0.40023944,0.85504407,1.274132,0.6904108,2.296187,1.2937645,0.40502045,1.4227998,0.48096895,1.8220855,0.5993056,0.387544,1.114651,0.6284467,0.5081052,1.0130563,0.51165193
27,1.1874791,2018-02-09,0.40022933,0.8550227,1.2745284,0.6965258,2.2964487,1.2934535,0.40529224,1.4192199,0.48077902,1.8220855,0.6010235,0.38768587,1.1151279,0.63087064,0.5058512,1.0128473,0.5114349
28,1.1873282,2018-02-12,0.40025818,0.85368747,1.2739309,0.7024398,2.2964098,1.2943932,0.40518162,1.4205964,0.48092553,1.8220855,0.60169935,0.38784948,1.1157666,0.6313366,0.5056167,1.0132722,0.50974274
29,1.1872356,2018-02-13,0.40021482,0.851715,1.2752004,0.7080094,2.2965512,1.292014,0.4049312,1.4201998,0.48113203,1.8220855,0.6033016,0.38799113,1.1133417,0.6305991,0.5024908,1.0130051,0.5083167
30,1.187278,2018-02-14,0.4003539,0.85188866,1.2748601,0.7126144,2.297534,1.2940816,0.405221,1.4307765,0.48118448,1.8220855,0.60454684,0.38798246,1.1161636,0.63253856,0.50730443,1.0133183,0.5091448
31,1.1869897,2018-02-15,0.40043992,0.8534105,1.2745249,0.7174291,2.2990396,1.2920766,0.40513214,1.4264803,0.4812373,1.8220855,0.6059627,0.3880551,1.1143202,0.6323736,0.4914108,1.0129756,0.5087389
32,1.1872191,2018-02-16,0.40052253,0.85326093,1.2754294,0.72220445,2.300139,1.292821,0.4051329,1.4295598,0.48110974,1.8220855,0.6075861,0.38805786,1.1145717,0.6354381,0.49841854,1.0124848,0.5089234
33,1.1873363,2018-02-20,0.40058905,0.85312957,1.2751269,0.7274236,2.3020658,1.2944143,0.40529034,1.4314823,0.48087844,1.8220855,0.60972106,0.3880899,1.1160698,0.6364072,0.5075382,1.0130998,0.5098914
34,1.1868865,2018-02-21,0.40060177,0.85328907,1.2746087,0.73311716,2.3041945,1.2929591,0.4051887,1.433485,0.48144692,1.8220855,0.61127275,0.38821685,1.1159998,0.63826823,0.50842696,1.0127752,0.5105872
35,1.1875176,2018-02-22,0.40066212,0.85323995,1.2743753,0.73896605,2.3062165,1.2941494,0.4055089,1.4364394,0.4822525,1.8220855,0.61320597,0.38826665,1.1173911,0.63984525,0.5119014,1.0122252,0.51086146
36,1.1875155,2018-02-23,0.4004874,0.85298723,1.2746843,0.74414307,2.3086207,1.2937555,0.4037286,1.439572,0.48155522,1.8220855,0.6148821,0.38851377,1.1149806,0.6387884,0.5118146,1.0125031,0.51018214
37,1.187697,2018-02-26,0.40052274,0.85290134,1.2769873,0.74927807,2.3118489,1.2941712,0.40449348,1.4408718,0.48105752,1.8220855,0.6165144,0.38897365,1.1154159,0.6375646,0.49867713,1.0132884,0.50905496
